site_id,site_name,cpt_name,borehole_id,latitude,longitude,qc10_mpa,qc50_mpa,ic_median,theta_z_m,n_profile_points,data_source
Canterbury_00939,CPT-BRY-15TT.xls,CPT-BRY-15TT,CPT-BRY-15,-43.53642056,172.6843533,0.99,10.755799999999999,1.2379986300841175,0.5999999999999872,3281,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00940,CPT-BRY-16TT.xls,CPT-BRY-16TT,CPT-BRY-16,-43.53657161,172.68278957,1.5844,12.0594,1.3219097015342167,0.5999999999999872,3313,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00941,CPT-BRY-18TT.xls,CPT-BRY-18TT,CPT-BRY-18,-43.53607628,172.68160692,1.2692,8.9532,1.2515538851145789,0.5999999999999872,3262,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00942,CPT-BRY-20TT.xls,CPT-BRY-20TT,CPT-BRY-20,-43.53473566,172.6883969,4.849399999999999,13.8668,1.2432180951666278,0.5999999999999872,1651,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00943,CPT-BUR-03TT.xls,CPT-BUR-03TT,CPT-BUR-03,-43.50410886,172.67988326,3.1508000000000003,5.008,0.9705936334863572,0.5999999999999872,1402,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00944,CPT-BUR-04TT.xls,CPT-BUR-04TT,CPT-BUR-04,-43.50365598,172.67502013,0.7606,7.747,1.4127900462148553,0.5999999999999872,1715,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00945,CPT-BUR-05TT.xls,CPT-BUR-05TT,CPT-BUR-05,-43.50313853,172.6775475,2.0796,4.1902,1.0079223956434018,0.5999999999999872,2054,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00946,CPT-BUR-06TT.xls,CPT-BUR-06TT,CPT-BUR-06,-43.50313509,172.68115506,1.8752,4.0,1.2204372869894815,0.5999999999999872,2289,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00947,CPT-BUR-07TT.xls,CPT-BUR-07TT,CPT-BUR-07,-43.50223466,172.68002442,1.7086,5.9592,1.3146321719625247,0.5999999999999872,2378,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00948,CPT-BUR-08TT.xls,CPT-BUR-08TT,CPT-BUR-08,-43.50155156,172.67456037,1.05,4.727399999999999,1.4496726166121845,0.5999999999999872,2435,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00949,CPT-BUR-09TT.xls,CPT-BUR-09TT,CPT-BUR-09,-43.5011799,172.67726803,0.942,4.631,1.1896888883987808,0.5999999999999872,2001,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00950,CPT-BUR-100TT.xls,CPT-BUR-100TT,CPT-BUR-100,-43.48990494,172.68579706,5.7002,9.834,1.4679647988194744,0.5999999999999872,2928,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00951,CPT-BUR-101TT.xls,CPT-BUR-101TT,CPT-BUR-101,-43.48411273,172.68425024,2.5374,9.114799999999999,1.4585931225279372,0.5999999999999872,2590,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00952,CPT-BUR-102TT.xls,CPT-BUR-102TT,CPT-BUR-102,-43.48922097,172.68216543,1.7488,11.081,1.2651620683458313,0.5999999999999872,1886,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00953,CPT-BUR-103TT.xls,CPT-BUR-103TT,CPT-BUR-103,-43.48654613,172.68077841,2.741,10.650799999999998,1.4447700682345535,0.5999999999999872,2692,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00954,CPT-BUR-104TT.xls,CPT-BUR-104TT,CPT-BUR-104,-43.48443498,172.67967324,1.183,10.5364,1.4922963362273691,0.5999999999999872,3000,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00955,CPT-BUR-105TT.xls,CPT-BUR-105TT,CPT-BUR-105,-43.49182282,172.68320431,2.9255999999999998,12.9424,1.4874937307431975,0.5999999999999872,2821,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00956,CPT-BUR-10TT.xls,CPT-BUR-10TT,CPT-BUR-10,-43.50125146,172.6793944,0.8114,9.0884,1.3130287062451278,0.5999999999999872,2472,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00957,CPT-BUR-11TT.xls,CPT-BUR-11TT,CPT-BUR-11,-43.5000563,172.67289271,0.7594,7.0296,1.287989249401674,0.5999999999999872,1460,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
