scenario,gradation,year,layer,z_mid_m,gw_depth_m,fc_pct,pga_g,n160,n1_60cs,csr,pf_nonstationary,fs_deterministic_nonstationary,crr_benchmark_module,crr_bi14_spt_style,fs_bi14_spt_style,delta_fs_bi14_minus_benchmark,pf_bi14_spt_style_diagnostic,delta_pf_bi14_minus_benchmark,method_status
stationary,constant,42,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7543333333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.21158320025868882,direct_spt_model_form_check_not_site_validation
stationary,constant,44,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7328333333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.23308320025868878,direct_spt_model_form_check_not_site_validation
stationary,constant,46,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.742,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22391653359202213,direct_spt_model_form_check_not_site_validation
stationary,constant,48,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.73875,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2271665335920221,direct_spt_model_form_check_not_site_validation
stationary,constant,50,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7465,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.21941653359202207,direct_spt_model_form_check_not_site_validation
stationary,constant,0,L2,4.5,3.2,14.0,0.28,13.0,15.75572751282236,0.20814594754653132,0.4960833333333333,0.9994752004414753,0.2080367126451502,0.14518092735655755,0.6974958151616291,-0.30197938527984625,0.9030497113756941,0.4069663780423608,direct_spt_model_form_check_not_site_validation
stationary,constant,2,L2,4.5,3.2,14.0,0.28,13.0,15.75572751282236,0.20814594754653132,0.48091666666666666,0.9994752004414753,0.2080367126451502,0.14518092735655755,0.6974958151616291,-0.30197938527984625,0.9030497113756941,0.42213304470902746,direct_spt_model_form_check_not_site_validation
stationary,constant,4,L2,4.5,3.2,14.0,0.28,13.0,15.75572751282236,0.20814594754653132,0.49041666666666667,0.9994752004414753,0.2080367126451502,0.14518092735655755,0.6974958151616291,-0.30197938527984625,0.9030497113756941,0.41263304470902745,direct_spt_model_form_check_not_site_validation
stationary,constant,6,L2,4.5,3.2,14.0,0.28,13.0,15.75572751282236,0.20814594754653132,0.5010833333333333,0.9994752004414753,0.2080367126451502,0.14518092735655755,0.6974958151616291,-0.30197938527984625,0.9030497113756941,0.4019663780423608,direct_spt_model_form_check_not_site_validation
stationary,constant,8,L2,4.5,3.2,14.0,0.28,13.0,15.75572751282236,0.20814594754653132,0.5016666666666667,0.9994752004414753,0.2080367126451502,0.14518092735655755,0.6974958151616291,-0.30197938527984625,0.9030497113756941,0.4013830447090274,direct_spt_model_form_check_not_site_validation
stationary,constant,10,L2,4.5,3.2,14.0,0.28,13.0,15.75572751282236,0.20814594754653132,0.4984166666666667,0.9994752004414753,0.2080367126451502,0.14518092735655755,0.6974958151616291,-0.30197938527984625,0.9030497113756941,0.40463304470902745,direct_spt_model_form_check_not_site_validation
