variable,pearson_with_pf,spearman_with_pf,absolute_spearman
fs_deterministic_nonstationary,-0.9665418879346842,-0.9977223498855471,0.9977223498855471
crr,-0.9548256775212118,-0.949159769856525,0.949159769856525
n1_60cs,-0.9587140300483229,-0.9464114249441999,0.9464114249441999
fc_pct,-0.94576037734913,-0.9431708017145818,0.9431708017145818
z_mid_m,-0.9504183697429953,-0.9412353131015425,0.9412353131015425
csr,-0.5794454257607473,-0.5424441768906252,0.5424441768906252
gw_depth_m,-0.2256612074874308,-0.2467247399216137,0.2467247399216137
