site_id,layer_id,fc0_mean,fc0_sd,fc_trend_pct_per_year,trend_sd,d50_mean,d50_sd,model_status,proxy_available
Issaquah_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Issaquah_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Blair_Waterway_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Blair_Waterway_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Blair_Waterway_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Blair_Waterway_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Green_River_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Green_River_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Green_River_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Green_River_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
