site_id,borehole_id,depth_m,qc_mpa,fs_mpa,u2_mpa,ic_proxy,latitude,longitude,data_source
Canterbury_100_Osbourne_CPT01,CPT01,0.6199579788537357,2.11236,0.0729,-0.022699999999999998,1.7639484925472564,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.6399565285877277,2.42802,0.0675,-0.0259,1.666208155538866,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.6599551200533119,2.60096,0.0675,-0.0277,1.635090892930041,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.6799537115188962,2.69426,0.0654,-0.0322,1.6056256780526788,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.6999524245241008,2.57786,0.061399999999999996,-0.0322,1.5979890361065785,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.719951015989685,2.3494799999999993,0.0589,-0.0366,1.622169043152339,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.7399496074552693,2.1868799999999995,0.0565,-0.0366,1.6374062051513514,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.7599482805564611,1.9518199999999999,0.054700000000000006,-0.0389,1.6771871546127308,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.7799471470857485,1.8353400000000002,0.047799999999999995,-0.039299999999999995,1.6486675060032974,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.7999462256251295,1.76236,0.0445,-0.039700000000000006,1.6376442200897383,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.8199454942431623,1.71706,0.0407,-0.039700000000000006,1.612061234401678,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.8399443607724497,1.68498,0.0376,-0.040100000000000004,1.5873658721063544,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.8599436293904825,1.67948,0.0318,-0.040600000000000004,1.5171366982930783,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.8799428980085153,1.74612,0.0281,-0.0409,1.4447248009806528,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.8999422251124083,1.77788,0.0272,-0.0421,1.4218054707660799,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.9199415522163013,1.80616,0.027800000000000002,-0.0427,1.4233530994450188,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.9399408793201942,1.84526,0.032799999999999996,-0.0427,1.483897705822212,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.9599402895837678,1.9075,0.037399999999999996,-0.0425,1.5242371173259204,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.9799396166876607,1.95186,0.0421,-0.0432,1.5641729495160346,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,0.9999389437915537,1.96146,0.044899999999999995,-0.0437,1.5895991686610689,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.0199383540551272,1.96418,0.0425,-0.0436,1.5652270374100314,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.0399377094881292,1.9606199999999998,0.0425,-0.0434,1.5660990055186659,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.0599372221022372,2.05144,0.039299999999999995,-0.0428,1.5106131390635498,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.0799368050824387,2.0444400000000003,0.0352,-0.0423,1.4646706813782544,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.0999365309273872,2.00602,0.0316,-0.0434,1.4272342689624218,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.1199361139075887,2.03508,0.0304,-0.0446,1.4036047839077177,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.139935650586282,2.0961200000000004,0.0286,-0.045899999999999996,1.3630724012196556,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.1599350608498558,2.12884,0.032,-0.046799999999999994,1.4041908127957097,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.1799344162828578,2.1597399999999998,0.0352,-0.047799999999999995,1.438546264010518,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.1999338265464314,2.13844,0.045700000000000005,-0.047799999999999995,1.5561208718412896,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.2199333391605394,2.15528,0.0504,-0.048100000000000004,1.5947788985748936,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.2399329870238354,2.14722,0.0533,-0.0484,1.620746976098305,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.259932397287409,2.10716,0.0579,-0.0487,1.6654196295426098,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.279931752720411,2.19884,0.061799999999999994,-0.0358,1.6736817820419259,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.2999315772610338,2.07576,0.062299999999999994,-0.0367,1.704176969909817,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.319931416118635,1.91482,0.0673,-0.045899999999999996,1.7758528058155731,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.3399312817825033,1.75478,0.0673,-0.0466,1.817867536480399,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.359931106323126,1.6699599999999999,0.0699,-0.0482,1.8582989799694631,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.3799309308637489,1.6406200000000002,0.0699,-0.0484,1.8669646878557384,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.3999307404781636,1.61316,0.0628,-0.0482,1.8291896466062785,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.4199306061420318,1.54292,0.061399999999999996,-0.0479,1.8414921476357513,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.4399304587073818,1.3918599999999999,0.0628,-0.0482,1.9025721019478088,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.45993032437125,1.3127,0.0628,-0.0485,1.932098695828556,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.4799301489118728,1.3261200000000002,0.06570000000000001,-0.0479,1.946241721791357,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.499930014575741,1.3385200000000002,0.0653,-0.0479,1.9389354766245044,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.519929867141091,1.4488599999999998,0.0687,-0.047200000000000006,1.9209415474475666,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.5399298074361065,1.5786600000000002,0.07390000000000001,-0.047200000000000006,1.90978330161307,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.5599296600014565,1.6987999999999999,0.0773,-0.0465,1.8932922700835495,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.579929600296472,1.7583000000000002,0.0836,-0.0465,1.9103984002064958,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.5999295405914875,1.80958,0.0861,-0.048100000000000004,1.9092789758080637,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,CPT01,1.6199294626094787,1.9374800000000003,0.0865,-0.048100000000000004,1.8786897797263147,-43.54312348,172.66165055,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
