site_id,date,gw_depth_m,data_source
Canterbury_100_Osbourne_CPT01,2010-09-04,1.40755057334899,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,2011-02-22,1.28991222381591,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_100_Osbourne_CPT01,2016-02-14,1.29435420036315,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
