case_no,earthquake,site,liquefied,mw,pga,csr75,fc_pct,gc_pct,n120,vs1_ms,dw_m,ds_m,hn_m,dn_m,shallow_groundwater_index,demand_index,dpt_resistance_index,vs_resistance_index,capping_index,dpt_screening_score,vs_screening_score,combined_instrument_score
1.0,Wenchuan earthquake,"Guoyuan village, Deyang, DY-28",1.0,7.9,0.21,0.1720682583241594,,9.0,16.014958827608645,220.10281791362,1.5,1.9,1.5,0.0,0.5259660073067759,-0.9476332100845376,-0.11724771989978527,-0.061315562905670626,0.460093047575911,-0.33341140666782676,-0.3166317595695924,-0.23918642625052855
2.0,Wenchuan earthquake,"Songbai village, Deyang, DY-45",1.0,7.9,0.24,0.3023049394214817,5.0,53.0,10.785034273738509,234.26958134040427,0.8,4.6,0.8,0.0,0.8721436582765589,-0.16680161674004332,0.4741514090108209,-0.32770702834069065,0.460093047575911,0.26461807920433417,0.024060547998880674,0.16834169430911827
3.0,Wenchuan earthquake,"Qingliang Village, Deyang, DY-06",1.0,7.9,0.24,0.2829148019802971,5.0,50.0,20.914722945991457,247.30661499764835,1.0,4.0,1.1,0.0,0.7732357579994781,-0.2830548242527167,-0.671312353458358,-0.5728550834224049,0.460093047575911,-0.15111657297253878,-0.12157939196175284,-0.17025087188591226
4.0,Wenchuan earthquake,"Nangui village, Deyang",0.0,7.9,0.24,0.2316544199053896,5.0,40.0,11.43713002382233,260.1034794041863,4.7,11.9,4.1,0.6000000000000005,-1.0565603971265176,-0.5903854892678015,0.40041251381385273,-0.813487001915922,-0.009396478404596153,-0.35733161937188823,-0.7215014740908205,-0.5010317222096777
5.0,Wenchuan earthquake,"Jinqiao village, Deyang, DY-38",1.0,7.9,0.139,0.1404591564884019,,0.5,7.690319784141161,181.19481794434037,2.2,5.1,2.4,0.0,0.1797883563369929,-1.1371449908105773,0.8241012858251143,0.6703094961650593,0.460093047575911,-0.20552253647103136,-0.2516600733690479,-0.040156266739473104
6.0,Wenchuan earthquake,"Shenghua Village, Deyang",0.0,7.9,0.18,0.1864589564149429,5.0,54.9,14.6078899913711,245.67703147896916,2.0,5.0,0.6,1.4,0.2786962566140738,-0.8613540479860412,0.041863425107529044,-0.5422124356621574,-0.6353825130452714,-0.3510801683909086,-0.5263029266218145,-0.37757359323548895
7.0,Wenchuan earthquake,"Baijiang Village, Deyang, DY-24",1.0,7.9,0.23,0.2174386347326174,,0.4,14.939537464761653,162.55655788750204,2.2,4.1,1.5,0.7,0.1797883563369929,-0.6756159642274938,0.004360775719702499,1.0207828724842392,-0.08764473273468017,-0.2711435165557969,0.033783112473564116,0.00013857679183008377
8.0,Wenchuan earthquake,"Anping Village, Deyang, DY-35",1.0,7.9,0.139,0.1365314384742667,,0.5,9.43230049791284,176.78780416033848,1.8,3.3,2.8,0.0,0.3776041568911546,-1.1606935509346892,0.6271183530710852,0.7531788732235482,0.460093047575911,-0.2356511082422581,-0.19783295219651925,-0.031657813811188026
9.0,Wenchuan earthquake,"Shengli village, Deyang, DY-07",1.0,7.9,0.21,0.2027297125123776,7.5,22.8,12.1443950747153,220.93774838844595,1.9,3.7,2.4,0.0,0.3281502067526143,-0.7638030331610727,0.3204350818836934,-0.07701557468851249,0.460093047575911,-0.15894614662805628,-0.278181343599718,-0.13001246643802084
10.0,Wenchuan earthquake,"Changzheng village, Deyang",1.0,7.9,0.2,0.1969628289040254,5.0,35.0,19.02494618672577,220.67829909656228,1.0,2.0,1.2,0.0,0.7732357579994781,-0.7983782763153185,-0.4576166647818926,-0.07213689668784107,0.460093047575911,-0.31890341979777,-0.2032594893695545,-0.20773130502561704
