check,n_cases,n_liquefied,n_non_liquefied,mean_liquefied,mean_non_liquefied,median_liquefied,median_non_liquefied,rank_auc_liquefied_higher
combined_instrument_score,234,136,98,0.24981657614856512,-0.34668422812453936,0.24308834260358064,-0.3629103371282183,0.8108493397358943
dpt_screening_score,234,136,98,0.2190715330558245,-0.30401763771012374,0.12372943455765129,-0.3287887301004128,0.7782863145258103
vs_screening_score,234,136,98,0.23657588438796254,-0.3283093905792133,0.2071045528910468,-0.4300226722954408,0.7956182472989196
demand_index,234,136,98,0.13167758154394782,-0.18273623561200916,-0.09549308338704023,-0.34659448647846736,0.6047418967587035
shallow_groundwater_index,234,136,98,0.2429875955581571,-0.3372072754684628,0.4962936372236516,-0.018027444217168773,0.6744447779111644
