model_name,n_test,n_events,n_liq,n_nonliq,auc,brier_score,log_loss,calibration_intercept,calibration_slope,sensitivity,specificity,tp,fp,tn,fn
M2_nonstationary_groundwater_gradation,15890,3,6189,9701,0.8335188195888876,0.13767282318361074,0.46652665305148194,-0.4579185634587665,1.786180415240914,0.7169171110033932,0.9290794763426451,4437,688,9013,1752
M0_static_stationary,15890,3,6189,9701,0.8158993491766727,0.13783140418242165,0.46952370466348875,-0.40808608747657354,1.717611069682494,0.7104540313459363,0.935573652200804,4397,625,9076,1792
M3_full_nonstationary_random_field,15890,3,6189,9701,0.8334756979693815,0.1379632142218631,0.46712502966732583,-0.45920919118401704,1.7805877455299775,0.7165939570205203,0.9287702298732089,4435,691,9010,1754
M1_nonstationary_groundwater_only,15890,3,6189,9701,0.8248581029728618,0.139550434080903,0.47323998665484396,-0.44737620812864065,1.7250601359857265,0.7172402649862659,0.9306257086898257,4439,673,9028,1750
