model_name,regime,n,n_liquefied,auc,brier_score,log_loss,calibration_intercept,calibration_slope,sensitivity,specificity,tp,fp,tn,fn
M0_static_stationary,inside_hydraulic_fabric_gate,492,25,0.9224839400428265,0.049639019723775595,0.22766887663544977,-3.7908076432979234,1.908299997322796,0.28,1.0,7,0,467,18
M0_static_stationary,outside_hydraulic_fabric_gate,15398,6164,0.8131421037030291,0.14064934502887275,0.47725149888285456,-0.3486414376301656,1.6984124850693356,0.7121998702141467,0.9323153562919645,4390,625,8609,1774
M1_nonstationary_groundwater_only,inside_hydraulic_fabric_gate,492,25,0.8792291220556745,0.06672584280796552,0.2740168336940494,-3.9197183386604633,1.8305123738867066,0.4,0.987152034261242,10,6,461,15
M1_nonstationary_groundwater_only,outside_hydraulic_fabric_gate,15398,6164,0.8243832185233113,0.1418773401015736,0.4796056049985712,-0.3856239385252577,1.712818475391495,0.7185269305645685,0.9277669482347844,4429,667,8567,1735
M2_nonstationary_groundwater_gradation,inside_hydraulic_fabric_gate,492,25,0.8804282655246253,0.060898523662830446,0.2548236138016421,-3.958611400022837,1.9422237381198455,0.44,0.9892933618843683,11,5,462,14
M2_nonstationary_groundwater_gradation,outside_hydraulic_fabric_gate,15398,6164,0.8324714499935838,0.1401259310784168,0.47329103123766986,-0.39547917034424035,1.771170418770758,0.7180402336145361,0.9260342213558588,4426,683,8551,1738
M3_full_nonstationary_random_field,inside_hydraulic_fabric_gate,492,25,0.876745182012848,0.06094375711705354,0.25495880725519543,-3.9414506658326216,1.9239136238328083,0.44,0.9914346895074947,11,4,463,14
M3_full_nonstationary_random_field,outside_hydraulic_fabric_gate,15398,6164,0.8324143682525306,0.14042415544121412,0.4739042075752859,-0.39682684331645024,1.765506195693761,0.7177157689811811,0.9256010396361274,4424,687,8547,1740
