domain,model_name,false_negative_cost_ratio,threshold,expected_loss_per_case,tp,fp,tn,fn,n_cases,threshold_policy
Case-weighted global fixed-threshold mean,M2_nonstationary_groundwater_gradation,75.0,0.5,1.1465376398140001,6048,6996,2720,150,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M2_nonstationary_groundwater_gradation,100.0,0.5,1.3821792132713333,6048,6996,2720,150,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,1.0,0.5,0.4452054794520548,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,2.0,0.5,0.4522433077793138,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,3.0,0.5,0.45928113610657284,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,5.0,0.5,0.4733567927610909,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,7.5,0.5,0.4909513635792384,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,10.0,0.5,0.5085459343973859,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,15.0,0.5,0.543735076033681,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,20.0,0.5,0.5789242176699761,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,30.0,0.5,0.6493025009425663,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,50.0,0.5,0.7900590674877467,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,75.0,0.5,0.966004775669222,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M3_full_nonstationary_random_field,100.0,0.5,1.1419504838506975,6086,6973,2743,112,15914,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,1.0,0.5,0.4599296570782565,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,2.0,0.5,0.46263032282376587,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,3.0,0.5,0.46533098856927524,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,5.0,0.5,0.4707323200602939,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,7.5,0.5,0.4774839844240673,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,10.0,0.5,0.4842356487878407,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,15.0,0.5,0.49773897751538754,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,20.0,0.5,0.5112423062429343,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,30.0,0.5,0.5382489636980279,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,50.0,0.5,0.592262278608215,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,75.0,0.5,0.659778922245949,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,100.0,0.5,0.7272955658836829,6159,7280,2440,43,15922,case_weighted_fixed_threshold_0p50
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,1.0,0.5,0.39311298227975366,5993,6051,3665,205,15914,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,2.0,0.5,0.40599472162875455,5993,6051,3665,205,15914,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,3.0,0.5,0.41887646097775544,5993,6051,3665,205,15914,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,5.0,0.5,0.4446399396757572,5993,6051,3665,205,15914,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,M1_nonstationary_groundwater_only,7.5,0.5,0.4768442880482594,5993,6051,3665,205,15914,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,10.0,0.5,0.4842356487878407,6159,7280,2440,43,15922,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,15.0,0.5,0.49773897751538754,6159,7280,2440,43,15922,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,20.0,0.5,0.5112423062429343,6159,7280,2440,43,15922,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,30.0,0.5,0.5382489636980279,6159,7280,2440,43,15922,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,50.0,0.5,0.592262278608215,6159,7280,2440,43,15922,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,75.0,0.5,0.659778922245949,6159,7280,2440,43,15922,best_case_weighted_fixed_threshold_model
Case-weighted global fixed-threshold mean,conservative_max_M0_M3,100.0,0.5,0.7272955658836829,6159,7280,2440,43,15922,best_case_weighted_fixed_threshold_model
