scenario,gradation,layer,z_mid_m,year_before,year_after,water_table_crosses_layer,gw_before_m,gw_after_m,csr_before,csr_after,csr_relative_jump,fs_before,fs_after,fs_relative_drop,pf_before,pf_after,pf_jump,fc_before_pct,fc_after_pct
extreme,fines_accumulation,L2,4.5,28,30,False,2.214683045111454,1.2500000000000002,0.2419706796025124,0.2877526432748538,0.18920459184372196,0.9212173551835025,0.77806146557531,0.1553986025151214,0.5861666666666666,0.7454166666666666,0.15925,16.8,17.0
extreme,constant,L2,4.5,28,30,False,2.214683045111454,1.2500000000000002,0.2419706796025124,0.2877526432748538,0.18920459184372196,0.8597600047530309,0.7229706399132498,0.15910180059966195,0.6381666666666667,0.7945833333333333,0.15641666666666665,14.0,14.0
extreme,fines_accumulation,L1,2.0,28,30,True,2.214683045111454,1.2500000000000002,0.1792154,0.2246170460531979,0.25333562881983296,0.8265025042713713,0.6638344078988327,0.19681500725269263,0.6965833333333333,0.8455833333333334,0.14900000000000002,10.8,11.0
extreme,constant,L1,2.0,28,30,True,2.214683045111454,1.2500000000000002,0.1792154,0.2246170460531979,0.25333562881983296,0.7603740083287055,0.6066802784858909,0.20212912087912094,0.755,0.8924166666666666,0.13741666666666663,8.0,8.0
extreme,fines_washout,L2,4.5,28,30,False,2.214683045111454,1.2500000000000002,0.2419706796025124,0.2877526432748538,0.18920459184372196,0.8055679191862577,0.6740969829069324,0.16320279537960036,0.7046666666666667,0.8374166666666667,0.13275000000000003,11.76,11.6
extreme,fines_washout,L1,2.0,28,30,True,2.214683045111454,1.2500000000000002,0.1792154,0.2246170460531979,0.25333562881983296,0.7360956403887349,0.5867314797326312,0.20291406776600918,0.78875,0.9076666666666666,0.11891666666666667,5.76,5.6
extreme,fines_washout,L3,8.0,28,30,False,2.214683045111454,1.2500000000000002,0.2800062757066454,0.3133870684344786,0.11921444490338984,1.161807270576605,1.0350295181896685,0.10912115597625471,0.3458333333333333,0.45975,0.11391666666666667,18.76,18.6
extreme,fines_accumulation,L3,8.0,28,30,False,2.214683045111454,1.2500000000000002,0.2800062757066454,0.3133870684344786,0.11921444490338984,1.2581930318039345,1.1273007937226636,0.10403192099514669,0.2674166666666667,0.3766666666666666,0.1092499999999999,23.8,24.0
extreme,constant,L3,8.0,28,30,False,2.214683045111454,1.2500000000000002,0.2800062757066454,0.3133870684344786,0.11921444490338984,1.2068776340935994,1.0783256413365685,0.10651617788374812,0.3071666666666666,0.4125,0.10533333333333339,21.0,21.0
extreme,fines_accumulation,L1,2.0,34,36,False,1.3263355756877424,0.9236644243122584,0.2189709470234227,0.2524439146189662,0.15286488025264378,0.6900487763262607,0.6025212903552327,0.1268424624082578,0.823,0.90025,0.07725000000000004,11.4,11.6
extreme,fines_accumulation,L2,4.5,34,36,False,1.3263355756877424,0.9236644243122584,0.283508017982259,0.307429561146945,0.08437695460938577,0.7965229427521272,0.737634322894702,0.07393210753472412,0.7179166666666666,0.78675,0.0688333333333333,17.4,17.6
extreme,fines_accumulation,L2,4.5,14,16,False,3.026335575687742,2.6236644243122584,0.2134038034695281,0.2266806464601906,0.06221465023025363,1.0109119698070017,0.9563679717867852,0.053955240069646915,0.4691666666666667,0.53675,0.06758333333333327,15.4,15.6
extreme,fines_accumulation,L1,2.0,44,46,False,1.0763355756877433,0.6736644243122583,0.238614282728379,0.2789148205275399,0.1688940717980243,0.6542732361401529,0.5633214951607698,0.1390118622549007,0.8579166666666667,0.9233333333333332,0.06541666666666657,12.4,12.6
extreme,constant,L1,2.0,34,36,False,1.3263355756877424,0.9236644243122584,0.2189709470234227,0.2524439146189662,0.15286488025264378,0.6223233442820878,0.5398059694087561,0.1325956604898434,0.8718333333333333,0.9365,0.06466666666666665,8.0,8.0
extreme,fines_washout,L2,4.5,14,16,False,3.026335575687742,2.6236644243122584,0.2134038034695281,0.2266806464601906,0.06221465023025363,0.944507736302721,0.8850314753038617,0.06297064461502377,0.554,0.618,0.06399999999999995,12.88,12.72
extreme,fines_washout,L2,4.5,24,26,False,2.7763355756877424,2.3736644243122584,0.2214568265015876,0.2357882543188231,0.06471431946186934,0.8887813225651215,0.8307251659759598,0.06532108080489951,0.6069166666666667,0.67025,0.06333333333333335,12.08,11.92
extreme,constant,L2,4.5,14,16,False,3.026335575687742,2.6236644243122584,0.2134038034695281,0.2266806464601906,0.06221465023025363,0.9748500695061684,0.9177524234813108,0.05857069493135658,0.52175,0.5831666666666667,0.061416666666666675,14.0,14.0
extreme,fines_accumulation,L2,4.5,44,46,False,1.0763355756877433,0.6736644243122583,0.2978994064837909,0.3244248046100241,0.08904146013354519,0.7736452191471873,0.7131641849566128,0.07817670515335773,0.74775,0.8078333333333333,0.060083333333333266,18.4,18.6
extreme,constant,L2,4.5,34,36,False,1.3263355756877424,0.9236644243122584,0.283508017982259,0.307429561146945,0.08437695460938577,0.7337948116097669,0.6766971655849091,0.07781146053567678,0.78,0.8395,0.0595,14.0,14.0
extreme,fines_accumulation,L2,4.5,24,26,False,2.7763355756877424,2.3736644243122584,0.2214568265015876,0.2357882543188231,0.06471431946186934,0.997539576209914,0.9411630001109704,0.05651562849580627,0.4954166666666666,0.5534166666666667,0.05800000000000005,16.4,16.6
