scenario,gradation,layer,z_mid_m,year_before,year_after,water_table_crosses_layer,gw_before_m,gw_after_m,csr_before,csr_after,csr_relative_jump,fs_before,fs_after,fs_relative_drop,pf_before,pf_after,pf_jump,fc_before_pct,fc_after_pct
extreme,constant,L1,2.0,28,30,True,2.214683045111454,1.2500000000000002,0.1792154,0.2246170460531979,0.25333562881983296,0.7603740083287055,0.6066802784858909,0.20212912087912094,0.755,0.8924166666666666,0.13741666666666663,8.0,8.0
extreme,fines_accumulation,L1,2.0,28,30,True,2.214683045111454,1.2500000000000002,0.1792154,0.2246170460531979,0.25333562881983296,0.8265025042713713,0.6638344078988327,0.19681500725269263,0.6965833333333333,0.8455833333333334,0.14900000000000002,10.8,11.0
extreme,fines_washout,L1,2.0,28,30,True,2.214683045111454,1.2500000000000002,0.1792154,0.2246170460531979,0.25333562881983296,0.7360956403887349,0.5867314797326312,0.20291406776600918,0.78875,0.9076666666666666,0.11891666666666667,5.76,5.6
