site_id,layer_id,z_mid_m,gw_depth_event_m,sigma_v_kpa,pore_pressure_kpa,sigma_v_eff_kpa,rd_benchmark_depth_only,csr_seed_1971
Blair_Waterway_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.06708286
Blair_Waterway_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.08378372007782978
Blair_Waterway_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.10461398807010652
Blair_Waterway_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.09827666097555547
Boeing_Field_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.1296505275
Boeing_Field_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.16192815130426721
Boeing_Field_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.20218665002010977
Boeing_Field_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.18993854669314092
Bush_School_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.0767582725
Bush_School_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.09586791047367063
Bush_School_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.11970254404175652
Bush_School_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.11245117938549139
Capitol_Lake_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.14255107749999998
Capitol_Lake_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.1780404051653883
Capitol_Lake_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.22230472464897638
Capitol_Lake_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.20883790457305543
Capitol_Lake_02,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.13997096750000002
Capitol_Lake_02,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.1748179543931641
Capitol_Lake_02,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.21828110972320308
Discovery_Park_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.05418231
Discovery_Park_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.06767146621670868
Discovery_Park_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.0844959134412399
Duwamish_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.12384528
Duwamish_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.1546776370667627
Duwamish_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.19313351643711976
Duwamish_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.18143383564717938
Elliott_Ave_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.09159390499999999
Elliott_Ave_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.11439700241395989
Elliott_Ave_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.14283832986495315
Elliott_Ave_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.13418544094739307
Emerald_Downs_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.10191434499999999
Emerald_Downs_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.1272868055028568
Emerald_Downs_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.15893278956804646
Factoria_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.065792805
Factoria_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.08217249469171767
Factoria_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.10260218060721986
Green_River_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.10707456500000001
Green_River_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.13373170704730525
Green_River_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.16698001941959312
Green_River_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.1568646704032905
Harbor_Island_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.11610494999999998
Harbor_Island_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.14501028475009
Harbor_Island_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.18106267165979975
Harbor_Island_02,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.11868506
Harbor_Island_02,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.14823273552231422
Harbor_Island_02,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.1850862865855731
Harbor_Island_02,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.17387409249521354
Issaquah_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.0806284375
Issaquah_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.10070158663200697
Issaquah_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.12573796643041651
Issaquah_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.11812098674946574
SODO_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.150936435
SODO_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.18851337017511705
SODO_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.23538147315773972
SODO_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.22112248719499986
SODO_02,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.12836047250000002
SODO_02,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.1603169259181551
SODO_02,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.20017484255722312
SODO_02,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.1880486109051495
SODO_03,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.127715445
SODO_03,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.15951131322509904
SODO_03,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.19916893882577977
SODO_04,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.1270704175
SODO_04,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.15870570053204297
SODO_04,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.1981630350943364
SODO_04,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.18615867511715797
Smith_Cove_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.0819184925
Smith_Cove_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.10231281201811906
Smith_Cove_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.12774977389330316
Smith_Cove_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.1200109225374572
Smith_Cove_02,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.08256352
Smith_Cove_02,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.10311842471117513
Smith_Cove_02,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.12875567762474652
Smith_Cove_02,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.12095589043145293
UW_01,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.08320854750000001
UW_01,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.10392403740423119
UW_01,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.12976158135618987
UW_01,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.12190085832544865
UW_02,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.08320854750000001
UW_02,L2,3.5,2.120782937636373,63.0,13.53011938178718,49.46988061821282,0.973225,0.10392403740423119
UW_02,L3,7.5,2.120782937636373,135.0,52.77011938178718,82.22988061821282,0.942625,0.12976158135618987
UW_02,L4,15.0,2.120782937636373,270.0,126.34511938178717,143.65488061821281,0.7734999999999999,0.12190085832544865
UW_03,L1,1.0,2.120782937636373,18.0,0.0,18.0,0.99235,0.0819184925
