holdout_family,site_id,site_family,model_name,pf,observed_liquefaction,validation_protocol,holdout_family_pair,validation_split,wtd_event_site_adjusted_m,qc10_mpa,ic_median,theta_z_m,year,layer_id,csr,crr,fs,beta_equivalent,critical_layer_rank,notes
Discovery Park,Discovery_Park_01,Discovery Park,M1_nonstationary_groundwater_only,0.0001611182853490907,0,leave-one-site-family-out spatial validation,,,3.7511068068509106,1.15928218,1.4801561127306821,0.7478991596638656,2001,site_screening_profile,,,,3.5967349169640572,,spatial cross-fitted site-calibrated probability
Discovery Park,Discovery_Park_01,Discovery Park,M2_nonstationary_groundwater_gradation,0.00017855307200212743,0,leave-one-site-family-out spatial validation,,,3.7511068068509106,1.15928218,1.4801561127306821,0.7478991596638656,2001,site_screening_profile,,,,3.5699083510473826,,spatial cross-fitted site-calibrated probability
Discovery Park,Discovery_Park_01,Discovery Park,M3_full_nonstationary_random_field,9.522085431202584e-05,0,leave-one-site-family-out spatial validation,,,3.7511068068509106,1.15928218,1.4801561127306821,0.7478991596638656,2001,site_screening_profile,,,,3.7313694301659988,,spatial cross-fitted site-calibrated probability
Duwamish,Duwamish_01,Duwamish,M0_static_stationary,0.907222874618539,0,leave-one-site-family-out spatial validation,,,2.0747068068509114,0.6128752270000001,1.519316410569255,1.245798319327731,2001,site_screening_profile,,,,-1.323845833224505,,spatial cross-fitted site-calibrated probability
Duwamish,Duwamish_01,Duwamish,M1_nonstationary_groundwater_only,0.9174889029236405,0,leave-one-site-family-out spatial validation,,,2.0747068068509114,0.6128752270000001,1.519316410569255,1.245798319327731,2001,site_screening_profile,,,,-1.3883772697632577,,spatial cross-fitted site-calibrated probability
Duwamish,Duwamish_01,Duwamish,M2_nonstationary_groundwater_gradation,0.5084830078112565,0,leave-one-site-family-out spatial validation,,,2.0747068068509114,0.6128752270000001,1.519316410569255,1.245798319327731,2001,site_screening_profile,,,,-0.021265349876971484,,spatial cross-fitted site-calibrated probability
Duwamish,Duwamish_01,Duwamish,M3_full_nonstationary_random_field,0.7051003892242096,0,leave-one-site-family-out spatial validation,,,2.0747068068509114,0.6128752270000001,1.519316410569255,1.245798319327731,2001,site_screening_profile,,,,-0.539127007197308,,spatial cross-fitted site-calibrated probability
Elliott Ave,Elliott_Ave_01,Elliott Ave,M0_static_stationary,0.044442894892240015,0,leave-one-site-family-out spatial validation,,,1.617506806850911,1.323173428,1.3192901143148807,0.5819327731092436,2001,site_screening_profile,,,,1.7013046792137472,,spatial cross-fitted site-calibrated probability
Elliott Ave,Elliott_Ave_01,Elliott Ave,M1_nonstationary_groundwater_only,0.050799926610531516,0,leave-one-site-family-out spatial validation,,,1.617506806850911,1.323173428,1.3192901143148807,0.5819327731092436,2001,site_screening_profile,,,,1.637146544601653,,spatial cross-fitted site-calibrated probability
Elliott Ave,Elliott_Ave_01,Elliott Ave,M2_nonstationary_groundwater_gradation,0.10104519413036159,0,leave-one-site-family-out spatial validation,,,1.617506806850911,1.323173428,1.3192901143148807,0.5819327731092436,2001,site_screening_profile,,,,1.2756185647249854,,spatial cross-fitted site-calibrated probability
Elliott Ave,Elliott_Ave_01,Elliott Ave,M3_full_nonstationary_random_field,0.12989932518724245,0,leave-one-site-family-out spatial validation,,,1.617506806850911,1.323173428,1.3192901143148807,0.5819327731092436,2001,site_screening_profile,,,,1.1268671589979324,,spatial cross-fitted site-calibrated probability
Emerald Downs,Emerald_Downs_01,Emerald Downs,M0_static_stationary,0.17981552473048307,0,leave-one-site-family-out spatial validation,,,0.7887068068509109,0.70361952,1.5005550643149501,0.7478991596638656,2001,site_screening_profile,,,,0.9160683449143286,,spatial cross-fitted site-calibrated probability
Emerald Downs,Emerald_Downs_01,Emerald Downs,M1_nonstationary_groundwater_only,0.27556582563956655,0,leave-one-site-family-out spatial validation,,,0.7887068068509109,0.70361952,1.5005550643149501,0.7478991596638656,2001,site_screening_profile,,,,0.596065229542235,,spatial cross-fitted site-calibrated probability
Emerald Downs,Emerald_Downs_01,Emerald Downs,M2_nonstationary_groundwater_gradation,0.03026072440163824,0,leave-one-site-family-out spatial validation,,,0.7887068068509109,0.70361952,1.5005550643149501,0.7478991596638656,2001,site_screening_profile,,,,1.8769755221930235,,spatial cross-fitted site-calibrated probability
Emerald Downs,Emerald_Downs_01,Emerald Downs,M3_full_nonstationary_random_field,0.0400632500190236,0,leave-one-site-family-out spatial validation,,,0.7887068068509109,0.70361952,1.5005550643149501,0.7478991596638656,2001,site_screening_profile,,,,1.749952560124032,,spatial cross-fitted site-calibrated probability
Factoria,Factoria_01,Factoria,M0_static_stationary,0.0010186170407622836,0,leave-one-site-family-out spatial validation,,,1.312706806850911,0.772008714,1.4636322984428032,0.9138655462184874,2001,site_screening_profile,,,,3.084749864831864,,spatial cross-fitted site-calibrated probability
Factoria,Factoria_01,Factoria,M1_nonstationary_groundwater_only,0.0012253593837828905,0,leave-one-site-family-out spatial validation,,,1.312706806850911,0.772008714,1.4636322984428032,0.9138655462184874,2001,site_screening_profile,,,,3.029360718904165,,spatial cross-fitted site-calibrated probability
Factoria,Factoria_01,Factoria,M2_nonstationary_groundwater_gradation,0.00039919739816849606,0,leave-one-site-family-out spatial validation,,,1.312706806850911,0.772008714,1.4636322984428032,0.9138655462184874,2001,site_screening_profile,,,,3.3533506815109426,,spatial cross-fitted site-calibrated probability
