model,source,n_test,n_earthquakes,n_liq,n_nonliq,raw_score_auc,auc,brier_score,log_loss,calibration_intercept,calibration_slope,sensitivity,specificity,tp,fp,tn,fn
combined_instrument_score,Hu full set screening score,232,15,134,98,0.8094730429485227,0.7533505939689309,0.1940092428888552,0.5916514721649907,0.3838960912009385,1.0543117354227889,0.7835820895522388,0.6224489795918368,105,37,61,29
vs_screening_score,Hu full set Vs score,232,15,134,98,0.7950807188547061,0.7452787084983247,0.19948409683044604,0.6083387810655609,0.3950190266184765,0.9587330918553052,0.7611940298507462,0.6224489795918368,102,37,61,32
dpt_screening_score,Hu full set DPT/N120 score,232,15,134,98,0.7781754492841912,0.7171032592141334,0.20937098801812815,0.6334759745460005,0.37259048604807843,0.7919770492231357,0.7761194029850746,0.5918367346938775,104,40,58,30
static_limit_state_pf_proxy,static benchmark proxy subset,193,13,101,92,0.7601162290142057,0.6512053379250968,0.21876425742398004,0.630256290120219,0.07768812254198149,0.7724208436502891,0.8217821782178217,0.5543478260869565,83,41,51,18
