heldout_event_key,heldout_event_name,model_name,false_negative_cost_ratio,locked_threshold_selected_on_training_events,training_selection_loss,test_expected_loss_per_case,test_fn,test_fp,test_tp,test_tn,n_test,threshold_policy
Yr2011,2011 Christchurch earthquake,M0_static_stationary,1,0.5,0.1422455730686904,0.16963649322879543,328,624,4394,266,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M0_static_stationary,2,0.325,0.2824479470714147,0.2166785459729152,276,664,4446,226,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M0_static_stationary,5,0.1,0.6002140494259584,0.15769779044903778,0,885,4722,5,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M0_static_stationary,10,0.1,0.6152948044366608,0.15769779044903778,0,885,4722,5,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M0_static_stationary,20,0.1,0.6454563144580657,0.15769779044903778,0,885,4722,5,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M0_static_stationary,50,0.075,0.6920607122008173,0.15823235923022094,0,888,4722,2,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M0_static_stationary,100,0.075,0.7358435493286631,0.15823235923022094,0,888,4722,2,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M1_nonstationary_groundwater_only,1,0.475,0.14234286826230785,0.16767640769779044,310,631,4412,259,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M1_nonstationary_groundwater_only,2,0.3,0.28050204319906596,0.21133285816108338,248,690,4474,200,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M1_nonstationary_groundwater_only,5,0.125,0.602354543685542,0.17444761225944405,27,844,4695,46,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M1_nonstationary_groundwater_only,10,0.1,0.6524615683985211,0.16625089094796863,6,873,4716,17,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M1_nonstationary_groundwater_only,20,0.075,0.6733800350262698,0.15805416963649324,0,887,4722,3,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M1_nonstationary_groundwater_only,50,0.075,0.7084063047285464,0.15805416963649324,0,887,4722,3,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M1_nonstationary_groundwater_only,100,0.05,0.7604592333138743,0.15823235923022094,0,888,4722,2,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M2_nonstationary_groundwater_gradation,1,0.475,0.14175909710060322,0.17088382038488953,354,605,4368,285,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M2_nonstationary_groundwater_gradation,2,0.35,0.2769994162288383,0.22594440484675696,304,660,4418,230,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M2_nonstationary_groundwater_gradation,5,0.125,0.5479665304533956,0.17159657875980042,25,838,4697,52,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M2_nonstationary_groundwater_gradation,10,0.1,0.6498345981708503,0.18406985032074127,17,863,4705,27,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M2_nonstationary_groundwater_gradation,20,0.075,0.7171628721541156,0.21525302922309336,17,868,4705,22,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M2_nonstationary_groundwater_gradation,50,0.05,0.8288577544269313,0.25374198146828225,11,874,4711,16,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M2_nonstationary_groundwater_gradation,100,0.05,0.9407472270869819,0.3517462580185317,11,874,4711,16,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M3_full_nonstationary_random_field,1,0.45,0.1422455730686904,0.1714183891660727,344,618,4378,272,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M3_full_nonstationary_random_field,2,0.35,0.27709671142245573,0.22398431931575197,299,659,4423,231,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M3_full_nonstationary_random_field,5,0.125,0.5389180774469741,0.16945830363506773,22,841,4700,49,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M3_full_nonstationary_random_field,10,0.1,0.6471103327495622,0.18389166072701355,17,862,4705,28,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M3_full_nonstationary_random_field,20,0.075,0.7254329636115976,0.20099786172487527,13,868,4709,22,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M3_full_nonstationary_random_field,50,0.05,0.837711617046118,0.2535637918745545,11,873,4711,17,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2011,2011 Christchurch earthquake,M3_full_nonstationary_random_field,100,0.05,0.9544658493870403,0.351568068424804,11,873,4711,17,5612,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M0_static_stationary,1,0.475,0.20252252252252254,0.032150313152400835,154,0,0,4636,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M0_static_stationary,2,0.475,0.3436936936936937,0.06430062630480167,154,0,0,4636,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M0_static_stationary,5,0.05,0.4563063063063063,0.9678496868475992,0,4636,154,0,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M0_static_stationary,10,0.05,0.4563063063063063,0.9678496868475992,0,4636,154,0,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M0_static_stationary,20,0.05,0.4563063063063063,0.9678496868475992,0,4636,154,0,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M0_static_stationary,50,0.05,0.4563063063063063,0.9678496868475992,0,4636,154,0,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M0_static_stationary,100,0.05,0.4563063063063063,0.9678496868475992,0,4636,154,0,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M1_nonstationary_groundwater_only,1,0.55,0.2072072072072072,0.033402922755741124,152,8,2,4628,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M1_nonstationary_groundwater_only,2,0.45,0.3490990990990991,0.0569937369519833,38,197,116,4439,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M1_nonstationary_groundwater_only,5,0.225,0.4345945945945946,0.49227557411273487,3,2343,151,2293,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M1_nonstationary_groundwater_only,10,0.15,0.4483783783783784,0.7204592901878915,0,3451,154,1185,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M1_nonstationary_groundwater_only,20,0.1,0.45315315315315313,0.890187891440501,0,4264,154,372,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M1_nonstationary_groundwater_only,50,0.075,0.4548648648648649,0.9373695198329853,0,4490,154,146,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M1_nonstationary_groundwater_only,100,0.075,0.4548648648648649,0.9373695198329853,0,4490,154,146,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M2_nonstationary_groundwater_gradation,1,0.55,0.20954954954954955,0.031732776617954074,127,25,27,4611,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M2_nonstationary_groundwater_gradation,2,0.3,0.3333333333333333,0.2870563674321503,12,1351,142,3285,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M2_nonstationary_groundwater_gradation,5,0.225,0.4136036036036036,0.49352818371607515,3,2349,151,2287,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
