domain,model_name,false_negative_cost_ratio,threshold,expected_loss_per_case,tp,fp,tn,fn,n_cases,threshold_policy
Balanced mean across validation domains,M3_full_nonstationary_random_field,7.5,,0.2609843717222572,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M3_full_nonstationary_random_field,10.0,,0.26287235158380534,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M3_full_nonstationary_random_field,15.0,,0.2663336479966436,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M3_full_nonstationary_random_field,20.0,,0.2697005454164044,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M3_full_nonstationary_random_field,30.0,,0.2756791483113069,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M3_full_nonstationary_random_field,50.0,,0.2846470526536606,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M3_full_nonstationary_random_field,75.0,,0.29487361023704634,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M3_full_nonstationary_random_field,100.0,,0.30510016782043214,,,,,15914,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,1.0,,0.1479354590588071,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,2.0,,0.16056394657716244,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,3.0,,0.16736067407873575,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,5.0,,0.16994091322285154,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,7.5,,0.17284630445423396,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,10.0,,0.17415740158030904,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,15.0,,0.17520627928116916,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,20.0,,0.17610831410390881,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,30.0,,0.17778651842528495,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,50.0,,0.18095412908188238,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,75.0,,0.18462520103489266,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,conservative_max_M0_M3,100.0,,0.18829627298790294,,,,,15922,balanced_mean_of_domain_diagnostic_optima
Balanced mean across validation domains,M0_static_stationary,1.0,,0.09989686035941543,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,2.0,,0.12496503740997134,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,3.0,,0.15003321446052723,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,5.0,,0.1613191385217817,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,7.5,,0.16205335291238376,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,10.0,,0.1627875673029858,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,15.0,,0.16425599608418992,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,20.0,,0.16559855954129082,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,30.0,,0.16790609048318297,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,50.0,,0.17252115236696733,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,75.0,,0.17828997972169777,,,,,15922,best_balanced_diagnostic_model
Balanced mean across validation domains,M0_static_stationary,100.0,,0.18405880707642822,,,,,15922,best_balanced_diagnostic_model
