site_id,event_key,pga_g,wtd_event_site_adjusted_m,manifestation_code,observed_liquefaction,severe_manifestation,critical_layer_depth_m,critical_layer_qc_mpa,critical_layer_saturated,critical_crossing_margin_m
Canterbury_00007,Yr2010,0.222,1.47103655338287,0,0,0,3.93315220901968,0.6163000000000001,1,2.46211565563681
Canterbury_00007,Yr2011,0.418,1.39776349067688,1,1,0,3.93315220901968,0.6163000000000001,1,2.5353887183427997
Canterbury_00007,Yr2016,0.100004606,1.1070456040859225,0,0,0,3.93315220901968,0.6163000000000001,1,2.8261066049337575
Canterbury_00008,Yr2010,0.218,2.61097407341003,0,0,0,1.7598845595400416,2.2831599999999996,0,-0.8510895138699885
Canterbury_00008,Yr2011,0.456,2.50161981582641,2,1,0,1.7598845595400416,2.2831599999999996,0,-0.7417352562863682
Canterbury_00008,Yr2016,0.141306952,2.27008366584777,0,0,0,1.7598845595400416,2.2831599999999996,0,-0.5101991063077282
Canterbury_00009,Yr2010,0.218,2.49496483802795,0,0,0,2.7193778784978977,0.98212,1,0.2244130404699476
Canterbury_00009,Yr2011,0.455,2.37652230262756,2,1,0,2.7193778784978977,0.98212,1,0.34285557587033777
Canterbury_00009,Yr2016,0.140889168,2.16181182861328,0,0,0,2.7193778784978977,0.98212,1,0.5575660498846178
Canterbury_00010,Yr2010,0.218,2.68623208999633,0,0,0,2.9994313268822665,1.1288000000000002,1,0.31319923688593665
Canterbury_00010,Yr2011,0.454,2.57688951492309,2,1,0,2.9994313268822665,1.1288000000000002,1,0.4225418119591766
Canterbury_00010,Yr2016,0.140505299,2.32316875457763,0,0,0,2.9994313268822665,1.1288000000000002,1,0.6762625723046365
Canterbury_00011,Yr2010,0.215,3.32470703125,0,0,0,1.7380773147443658,1.75352,0,-1.5866297165056342
Canterbury_00011,Yr2011,0.455,3.3845477104187,4,1,1,1.7380773147443658,1.75352,0,-1.646470395674334
Canterbury_00011,Yr2016,0.146759853,2.90854144096374,0,0,0,1.7380773147443658,1.75352,0,-1.170464126219374
Canterbury_00012,Yr2010,0.215,3.15538907051086,0,0,0,4.499566048398986,0.7960000000000002,1,1.344176977888126
