hydraulic_fabric_gate,n,median_m2_minus_m0_pf,mean_m2_minus_m0_pf,m0_false_negative_rate_0p5,observed_liquefaction_rate
outside,15398,0.0006609033336379966,0.0007325946740496924,0.11520976750227302,0.4003117287959475
inside,492,0.0297530237721026,0.027477699928430802,0.036585365853658534,0.0508130081300813
