domain,source_file,validation_protocol,threshold,site_id,site_name,site_family,region,event_name,observed_liquefaction,conservative_max_pf,conservative_selected_model,error_type,protocol,heldout_group
pooled_spatial_site_validation,outputs/conservative_max_guardrail_site_predictions.csv,leave-one-site-family-out spatial validation,0.375,Green_River_01,Green_River_01,Green River,,,0,0.7047639318201128,M1_nonstationary_groundwater_only,false_positive,,
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.739812103081089,M1_groundwater,false_positive,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.739812103081089,M1_groundwater,false_positive,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.739812103081089,M1_groundwater,false_positive,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.739812103081089,M1_groundwater,false_positive,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.739812103081089,M1_groundwater,false_positive,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.739812103081089,M1_groundwater,false_positive,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.739812103081089,M1_groundwater,false_positive,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,Emerald_Downs_01,Emerald Downs-01,Emerald Downs,south_sound_or_green_river,,0,0.3907369173925529,M1_groundwater,false_positive,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5361177447404835,M1_groundwater,false_positive,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5361177447404835,M1_groundwater,false_positive,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5361177447404835,M1_groundwater,false_positive,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5361177447404835,M1_groundwater,false_positive,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5361177447404835,M1_groundwater,false_positive,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5361177447404835,M1_groundwater,false_positive,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5361177447404835,M1_groundwater,false_positive,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,Boeing_Field_01,Boeing Field-01,Boeing Field,industrial_waterway,,1,0.4657015417598701,M0_static_stationary,false_negative,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,SODO_03,SODO-03,SODO,industrial_waterway,,1,0.4348422438899788,M0_static_stationary,false_negative,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,SODO_03,SODO-03,SODO,industrial_waterway,,1,0.4348422438899788,M0_static_stationary,false_negative,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5405262481217864,M1_groundwater,false_positive,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5405262481217864,M1_groundwater,false_positive,leave_one_region_out,south_sound_or_green_river
